country,cell_lon,cell_lat,annual_wind_speed
Denmark,11.478523489932886,54.61409395973154,6.022
Denmark,11.527516778523491,54.61409395973154,6.056
Denmark,11.576510067114095,54.61409395973154,6.098
Denmark,11.625503355704698,54.61409395973154,6.146
Denmark,11.674496644295303,54.61409395973154,6.2
Denmark,11.723489932885906,54.61409395973154,6.259
Denmark,11.772483221476511,54.61409395973154,6.322
Denmark,11.821476510067114,54.61409395973154,6.387
Denmark,11.87046979865772,54.61409395973154,6.454
Denmark,11.919463087248323,54.61409395973154,6.519
Denmark,11.968456375838926,54.61409395973154,6.581
Denmark,12.017449664429531,54.61409395973154,6.64
Denmark,12.066442953020136,54.61409395973154,6.693
Denmark,12.11543624161074,54.61409395973154,6.742
Denmark,12.164429530201343,54.61409395973154,6.785
Denmark,10.596644295302013,54.636912751677855,6.257
Denmark,10.645637583892618,54.636912751677855,6.249
Denmark,10.694630872483222,54.636912751677855,6.23
Denmark,10.743624161073825,54.636912751677855,6.203
Denmark,10.79261744966443,54.636912751677855,6.17
Denmark,10.841610738255035,54.636912751677855,6.135
Denmark,10.988590604026847,54.636912751677855,6.03
Denmark,11.03758389261745,54.636912751677855,6.001
Denmark,11.086577181208053,54.636912751677855,5.975
Denmark,11.135570469798658,54.636912751677855,5.955
Denmark,11.184563758389263,54.636912751677855,5.94
Denmark,11.233557046979866,54.636912751677855,5.931
Denmark,11.28255033557047,54.636912751677855,5.927
Denmark,11.331543624161075,54.636912751677855,5.93
Denmark,11.380536912751678,54.636912751677855,5.939
Denmark,11.429530201342281,54.636912751677855,5.955
Denmark,11.478523489932886,54.636912751677855,5.977
Denmark,11.527516778523491,54.636912751677855,6.006
Denmark,11.576510067114095,54.636912751677855,6.041
Denmark,11.625503355704698,54.636912751677855,6.082
Denmark,11.674496644295303,54.636912751677855,6.129
Denmark,11.723489932885906,54.636912751677855,6.182
Denmark,11.772483221476511,54.636912751677855,6.238
Denmark,11.821476510067114,54.636912751677855,6.298
Denmark,11.87046979865772,54.636912751677855,6.359
Denmark,11.919463087248323,54.636912751677855,6.42
Denmark,11.968456375838926,54.636912751677855,6.48
Denmark,12.017449664429531,54.636912751677855,6.538
Denmark,12.066442953020136,54.636912751677855,6.593
Denmark,12.11543624161074,54.636912751677855,6.645
Denmark,12.164429530201343,54.636912751677855,6.694
Denmark,10.54765100671141,54.65973154362416,6.189
Denmark,10.596644295302013,54.65973154362416,6.197
Denmark,10.645637583892618,54.65973154362416,6.192
Denmark,10.694630872483222,54.65973154362416,6.176
Denmark,10.743624161073825,54.65973154362416,6.153
Denmark,10.79261744966443,54.65973154362416,6.124
Denmark,10.841610738255035,54.65973154362416,6.092
Denmark,10.890604026845638,54.65973154362416,6.059
Denmark,10.939597315436242,54.65973154362416,6.027
Denmark,10.988590604026847,54.65973154362416,5.997
Denmark,11.03758389261745,54.65973154362416,5.97
Denmark,11.086577181208053,54.65973154362416,5.946
Denmark,11.135570469798658,54.65973154362416,5.927
Denmark,11.184563758389263,54.65973154362416,5.912
Denmark,11.233557046979866,54.65973154362416,5.902
Denmark,11.28255033557047,54.65973154362416,5.897
Denmark,11.331543624161075,54.65973154362416,5.897
Denmark,11.380536912751678,54.65973154362416,5.902
Denmark,11.429530201342281,54.65973154362416,5.914
Denmark,11.478523489932886,54.65973154362416,5.93
Denmark,11.527516778523491,54.65973154362416,5.953
Denmark,11.576510067114095,54.65973154362416,5.982
Denmark,11.625503355704698,54.65973154362416,6.016
Denmark,11.674496644295303,54.65973154362416,6.056
Denmark,11.723489932885906,54.65973154362416,6.101
Denmark,11.772483221476511,54.65973154362416,6.15
Denmark,11.821476510067114,54.65973154362416,6.203
Denmark,11.87046979865772,54.65973154362416,6.259
Denmark,11.919463087248323,54.65973154362416,6.316
Denmark,11.968456375838926,54.65973154362416,6.374
Denmark,12.017449664429531,54.65973154362416,6.431
Denmark,12.066442953020136,54.65973154362416,6.487
Denmark,12.11543624161074,54.65973154362416,6.543
Denmark,12.164429530201343,54.65973154362416,6.597
Denmark,9.175838926174496,54.68255033557047,4.251
Denmark,9.224832214765101,54.68255033557047,4.204
Denmark,9.273825503355704,54.68255033557047,4.168
Denmark,9.32281879194631,54.68255033557047,4.143
Denmark,9.371812080536913,54.68255033557047,4.13
Denmark,9.420805369127518,54.68255033557047,4.128
Denmark,9.46979865771812,54.68255033557047,4.139
Denmark,10.498657718120805,54.68255033557047,6.1
Denmark,10.54765100671141,54.68255033557047,6.124
Denmark,10.596644295302013,54.68255033557047,6.134
Denmark,10.645637583892618,54.68255033557047,6.132
Denmark,10.694630872483222,54.68255033557047,6.119
Denmark,10.743624161073825,54.68255033557047,6.099
Denmark,10.79261744966443,54.68255033557047,6.074
Denmark,10.841610738255035,54.68255033557047,6.047
Denmark,10.890604026845638,54.68255033557047,6.018
Denmark,10.939597315436242,54.68255033557047,5.989
Denmark,10.988590604026847,54.68255033557047,5.962
Denmark,11.03758389261745,54.68255033557047,5.937
Denmark,11.086577181208053,54.68255033557047,5.915
Denmark,11.135570469798658,54.68255033557047,5.897
Denmark,11.184563758389263,54.68255033557047,5.882
