cell_lon,cell_lat,wind_speed,is_natura2000,population_density,dist_to_nearest_turbine_m,ml_suitability_score,kmeans_label,ml_suitable,rf_empirical_probability,rf_empirical_prediction,rf_empirical_label
4.153261044176707,52.19749799196787,6.136738743989866,0,0,6241,67.74,High ML suitability,True,0.016666666666666666,0,Empirically Unsuitable
4.174979919678715,52.19749799196787,5.950466365447065,0,0,7214,65.85,High ML suitability,True,0.0033333333333333335,0,Empirically Unsuitable
4.196698795180723,52.19749799196787,5.765353754435976,0,0,8277,63.98,High ML suitability,True,0.0,0,Empirically Unsuitable
4.218417670682731,52.19749799196787,5.5877138166582,0,0,9453,62.18,High ML suitability,True,0.0,0,Empirically Unsuitable
4.240136546184739,52.19749799196787,5.424079939663764,0,0,10627,60.53,High ML suitability,True,0.0,0,Empirically Unsuitable
4.261855421686747,52.19749799196787,5.28087619514231,0,0,11798,59.09,High ML suitability,True,0.0,0,Empirically Unsuitable
4.283574297188755,52.19749799196787,5.16404609427543,0,0,13001,57.89,High ML suitability,True,0.0,0,Empirically Unsuitable
4.305293172690764,52.19749799196787,5.078657473861709,0,0,14204,56.98,High ML suitability,True,0.0,0,Empirically Unsuitable
4.327012048192771,52.19749799196787,5.028506406527419,0,0,13478,56.63,High ML suitability,True,0.0,0,Empirically Unsuitable
4.348730923694779,52.19749799196787,5.015748492919336,0,0,12312,56.67,High ML suitability,True,0.0,0,Empirically Unsuitable
4.370449799196788,52.19749799196787,5.04059078239642,0,0,11221,57.05,High ML suitability,True,0.0,0,Empirically Unsuitable
4.392168674698795,52.19749799196787,5.10108060028236,0,2700,10222,35.39,Low ML suitability,False,0.09666666666666666,0,Empirically Unsuitable
4.413887550200803,52.19749799196787,5.193027041127303,0,2700,9339,36.35,Low ML suitability,False,0.08,0,Empirically Unsuitable
4.435606425702812,52.19749799196787,5.310085122335971,0,2700,8624,37.52,Low ML suitability,False,0.38,0,Empirically Unsuitable
4.457325301204819,52.19749799196787,5.444020500360937,0,2700,7185,39.02,Low ML suitability,False,0.043333333333333335,0,Empirically Unsuitable
4.479044176706827,52.19749799196787,5.585154419997006,0,3557,5767,39.86,Low ML suitability,False,0.10333333333333333,0,Empirically Unsuitable
4.500763052208836,52.19749799196787,5.722966074141495,0,1358,4394,44.27,Medium ML suitability,False,0.12,0,Empirically Unsuitable
4.522481927710844,52.19749799196787,5.846806306866794,0,1358,3125,45.95,Medium ML suitability,False,0.03333333333333333,0,Empirically Unsuitable
4.544200803212852,52.19749799196787,5.946657092824192,0,1358,2153,47.47,Medium ML suitability,False,0.24666666666666667,0,Empirically Unsuitable
4.56591967871486,52.19749799196787,6.013859842782322,0,462,1494,51.74,Medium ML suitability,False,0.9733333333333334,1,Empirically Suitable
4.587638554216868,52.19749799196787,6.041735335307682,0,462,972,52.72,Medium ML suitability,False,0.9633333333333334,1,Empirically Suitable
4.609357429718876,52.19749799196787,6.026029698593572,0,462,1762,51.56,Medium ML suitability,False,0.9833333333333333,1,Empirically Suitable
4.631076305220883,52.19749799196787,5.965142552657581,0,462,1825,50.96,Medium ML suitability,False,0.93,1,Empirically Suitable
4.652795180722892,52.19749799196787,5.860121269071669,0,462,2063,49.83,Medium ML suitability,False,0.8866666666666667,1,Empirically Suitable
4.6745140562249,52.19749799196787,5.7144343413855925,0,462,911,49.94,Medium ML suitability,False,0.9433333333333334,1,Empirically Suitable
4.696232931726907,52.19749799196787,5.533562255799964,0,462,854,48.45,Medium ML suitability,False,0.9,1,Empirically Suitable
4.717951807228916,52.19749799196787,5.324462345250244,0,376,2175,45.58,Medium ML suitability,False,0.08333333333333333,0,Empirically Unsuitable
4.7396706827309245,52.19749799196787,5.094972976603935,0,376,2343,43.43,Medium ML suitability,False,0.006666666666666667,0,Empirically Unsuitable
4.761389558232932,52.19749799196787,4.853221937780644,0,376,1705,41.84,Medium ML suitability,False,0.2633333333333333,0,Empirically Unsuitable
4.78310843373494,52.19749799196787,4.607095402325103,0,376,2176,39.25,Medium ML suitability,False,0.79,1,Empirically Suitable
4.8048273092369485,52.19749799196787,4.3638096252026735,0,376,3313,36.38,Low ML suitability,False,0.6266666666666667,1,Empirically Suitable
4.826546184738956,52.19749799196787,4.129610216578348,0,460,3864,33.48,Low ML suitability,False,0.11666666666666667,0,Empirically Unsuitable
