cell_lon,cell_lat,wind_speed,is_natura2000,dist_to_nearest_turbine_m,population_density
5.847333333333333,50.791088353413656,3.9883352487585526,0,12182,192
5.869052208835342,50.791088353413656,3.960283596807918,0,10674,192
5.89077108433735,50.791088353413656,3.927915804068711,0,9173,192
5.912489959839357,50.791088353413656,3.891751651826132,0,7683,192
5.934208835341366,50.791088353413656,3.852340181718737,0,6215,192
5.955927710843374,50.791088353413656,3.8102398452128656,0,4786,424
5.67358232931727,50.8078313253012,4.035009312437779,0,4535,0
5.695301204819277,50.8078313253012,4.050717641102747,1,5773,336
5.717020080321285,50.8078313253012,4.060931188718573,0,7076,336
5.738738955823294,50.8078313253012,4.065411045925391,0,8455,336
5.760457831325302,50.8078313253012,4.064023283558496,0,9880,336
5.782176706827309,50.8078313253012,4.056748954787826,0,11333,336
5.803895582329318,50.8078313253012,4.043687753595943,0,12804,336
5.825614457831326,50.8078313253012,4.0250549158605535,0,12859,336
5.847333333333333,50.8078313253012,4.001171671312997,0,11436,192
5.869052208835342,50.8078313253012,3.9724502237781847,0,10044,192
5.89077108433735,50.8078313253012,3.939374743401734,0,8699,192
5.912489959839357,50.8078313253012,3.902480127187887,0,7425,192
5.934208835341366,50.8078313253012,3.862330304655476,0,5899,192
5.955927710843374,50.8078313253012,3.819497665416388,0,4368,192
5.977646586345382,50.8078313253012,3.77454483173177,0,2838,192
5.99936546184739,50.8078313253012,3.7280095723259343,0,1308,640
5.6518634538152615,50.824574297188754,4.026353393635258,0,5163,0
5.67358232931727,50.824574297188754,4.047113064517842,1,5910,2246
5.695301204819277,50.824574297188754,4.062656242219829,0,6664,2246
5.717020080321285,50.824574297188754,4.072648586444435,0,7488,2246
5.738738955823294,50.824574297188754,4.076847149060926,0,8510,2246
5.760457831325302,50.824574297188754,4.075116254837591,1,9600,336
5.782176706827309,50.824574297188754,4.067437912183278,0,10789,336
5.803895582329318,50.824574297188754,4.0539156282709055,0,12055,336
5.825614457831326,50.824574297188754,4.034771190832039,0,12336,336
5.847333333333333,50.824574297188754,4.010334742125714,0,10845,336
5.869052208835342,50.824574297188754,3.9810291770579447,0,9367,192
5.89077108433735,50.824574297188754,3.947350429415703,0,7907,192
5.912489959839357,50.824574297188754,3.909845492410533,1,6481,192
5.934208835341366,50.824574297188754,3.869090033637547,0,5115,192
5.955927710843374,50.824574297188754,3.825667245526089,0,3874,192
5.977646586345382,50.824574297188754,3.7801491929214186,0,2921,640
5.99936546184739,50.824574297188754,3.733081466441804,0,1855,640
5.630144578313253,50.84131726907631,4.0097314145837455,0,4345,0
5.6518634538152615,50.84131726907631,4.035067445077782,0,4063,2246
5.67358232931727,50.84131726907631,4.055568174179728,0,4338,2246
5.695301204819277,50.84131726907631,4.070824270828705,0,5079,2246
5.717020080321285,50.84131726907631,4.080498578589693,0,6111,2246
